molecule_chembl_id,canonical_smiles,standard_value_norm,pIC50
CHEMBL1085317,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCN(C)CC5)c4)cnn3c2N)cc1,1706.0,5.768020973168496
CHEMBL1085564,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)Oc6ccccc6)cc5)cnc34)c2)CC1,688.0,6.162411561764489
CHEMBL1085061,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)Nc6ccccc6Cl)cc5)cnc34)c2)CC1,1000.0,6.0
CHEMBL1084028,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)NCC6CCCCC6)cc5)cnc34)c2)CC1,227.0,6.6439741428068775
CHEMBL1084302,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)N(C)C6CCCCC6)cc5)cnc34)c2)CC1,554.0,6.2564902352715706
CHEMBL1083001,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)CCC6CCCC6)cc5)cnc34)cc2)CC1,142.0,6.847711655616943
CHEMBL1085733,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)c6ccc(C(F)(F)F)cc6)cc5)cnc34)cc2)CC1,1000.0,6.0
CHEMBL1085511,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1,662.0,6.1791420105603
CHEMBL1085512,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)Oc6ccccc6)cc5)cnc34)cc2)CC1,394.0,6.404503778174426
CHEMBL1084233,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)Nc6ccccc6Cl)cc5)cnc34)cc2)CC1,1000.0,6.0
CHEMBL1084234,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)NCC6CCCCC6)cc5)cnc34)cc2)CC1,143.0,6.844663962534939
CHEMBL1082693,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)N(C)C6CCCCC6)cc5)cnc34)cc2)CC1,497.0,6.303643611266668
CHEMBL1085995,Cc1nc2c(-c3cccc(N4CCN(C)CC4)c3)cnn2c(N)c1-c1ccc(NC(=O)OCC(C)C)cc1,1000.0,6.0
CHEMBL1085996,Cc1cc(NC(=O)OCC(C)C)ccc1-c1cnc2c(-c3cccc(N4CCN(C)CC4)c3)cnn2c1N,462.0,6.335358024443875
CHEMBL1083022,COc1cc(-c2cnc3c(-c4cccc(N5CCN(C)CC5)c4)cnn3c2N)ccc1NC(=O)OCC(C)C,1000.0,6.0
CHEMBL1083023,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5cccc(O)c5)cnc34)cc2)CC1,2.0,8.698970004336019
CHEMBL1083344,Cc1nn2c(N)c(-c3cccc(O)c3)cnc2c1-c1ccc(N2CCN(C)CC2)cc1,1000.0,6.0
CHEMBL1083644,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCNCC5)c4)cnn3c2N)cc1,642.0,6.192464971931146
CHEMBL1082403,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCN(S(C)(=O)=O)CC5)c4)cnn3c2N)cc1,1000.0,6.0
CHEMBL1082404,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCN(C(=O)CN)CC5)c4)cnn3c2N)cc1,762.0,6.1180450286604
CHEMBL1082958,COCCN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)OCC(C)C)cc5)cnc34)cc2)CC1,1000.0,6.0
CHEMBL1082959,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCOCC5)c4)cnn3c2N)cc1,1000.0,6.0
CHEMBL406845,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,50.0,7.301029995663981
CHEMBL1171261,c1ccc(Cn2cnc3c(N4CCOCC4)ncnc32)cc1,10000.0,5.0
CHEMBL1173318,Brc1ccc(Nc2ncnc3c2ncn3Cc2ccccc2)cc1,10000.0,5.0
CHEMBL345677,c1ccc(Cn2cnc3c(Nc4ccccc4)ncnc32)cc1,10000.0,5.0
CHEMBL1173419,c1ccc(Cn2cnc3c(N4CCOCC4)nc(N4CCOCC4)nc32)cc1,10000.0,5.0
CHEMBL1173420,Brc1ccc(Nc2nc(N3CCOCC3)nc3c2ncn3Cc2ccccc2)cc1,10000.0,5.0
CHEMBL1173421,c1ccc(Cn2cnc3c(Nc4ccccc4)nc(N4CCOCC4)nc32)cc1,10000.0,5.0
